shop_id,mean_l2m,var_l2m,min_l2m,max_l2m,median_l2m,sum_l2m
1,239.833333333,1083.31609195,164,309,239.5,7195
2,90.6666666667,766.333333333,34,161,82.0,1904
3,84.9666666667,656.309195402,55,152,78.0,2549
4,116.733333333,1315.5816092,71,203,106.5,3502
5,179.5,10352.8103448,1,312,203.0,5385
6,78.9333333333,465.512643678,30,137,78.0,2368
7,142.566666667,1982.39195402,82,257,135.5,4277
8,69.9666666667,215.61954023,39,103,68.5,2099
9,234.2,1140.92413793,182,324,231.0,7026
10,76.7333333333,430.271264368,35,111,75.0,2302
11,74.9,556.989655172,32,118,78.5,2247
12,85.6333333333,1181.75747126,52,223,76.0,2569
13,220.7,686.562068966,160,297,225.0,6621
14,64.1333333333,230.326436782,38,103,64.5,1924
15,139.033333333,819.757471264,105,203,131.0,4171
16,55.1,467.54137931,30,143,49.5,1653
17,93.3666666667,265.550574713,62,123,89.0,2801
18,79.1,427.196551724,42,115,76.0,2373
19,158.3,985.872413793,100,255,149.0,4749
20,132.8,797.889655172,73,177,140.5,3984
21,88.275862069,507.706896552,54,130,84.0,2560
22,85.7,306.7,49,127,83.5,2571
23,47.2222222222,3827.1025641,1,166,17.0,1275
24,75.9,1234.85172414,32,165,66.0,2277
25,116.433333333,250.46091954,86,152,115.0,3493
26,88.9333333333,1055.09885057,32,147,78.0,2668
27,80.0,254.75862069,48,112,81.0,2400
28,81.0,428.444444444,53,120,83.0,1539
29,115.866666667,1156.05057471,54,187,115.5,3476
30,44.8,145.131034483,20,66,45.0,1344
31,370.366666667,6604.99885057,284,591,352.0,11111
32,309.133333333,26961.6367816,54,494,403.5,9274
33,77.2666666667,438.547126437,35,115,75.5,2318
34,392.6,5731.48965517,264,576,372.0,11778
35,163.5,1251.22413793,107,245,152.5,4905
36,73.0666666667,272.47816092,52,118,67.5,2192
37,203.266666667,2765.85747126,97,325,199.5,6098
38,76.3333333333,578.91954023,34,128,79.5,2290
39,285.633333333,6503.68850575,179,477,267.0,8569
40,81.3333333333,631.402298851,6,123,84.0,2440
41,208.466666667,6563.84367816,125,391,185.5,6254
42,95.3666666667,631.343678161,55,155,94.5,2861
43,97.3,2597.18275862,22,210,77.5,2919
44,57.0333333333,225.067816092,25,91,54.0,1711
45,49.4,352.248275862,18,101,48.0,1482
46,172.5,1243.77586207,116,235,182.5,5175
47,128.066666667,2682.68505747,39,195,153.5,3842
48,453.966666667,8375.82643678,289,682,431.0,13619
49,435.7,7095.73448276,267,608,431.5,13071
50,61.2,144.096551724,44,95,60.5,1836
51,44.5666666667,455.495402299,10,82,48.5,1337
52,85.9666666667,1693.06781609,40,177,76.0,2579
53,125.7,455.320689655,84,182,124.0,3771
54,319.333333333,1272.64367816,237,404,325.0,9580
55,295.9,2434.78275862,220,407,288.0,8877
56,69.0666666667,317.167816092,47,111,63.0,2072
57,348.466666667,13259.7747126,231,720,297.0,10454
58,1632.03333333,23656.2402299,1256,1935,1640.5,48961
59,226.1,11297.2655172,123,576,199.5,6783
60,140.8,200.096551724,115,176,139.5,4224
61,78.7,182.562068966,61,112,77.5,2361
62,106.133333333,2240.46436782,65,231,88.0,3184
63,220.1,1053.54137931,162,306,217.5,6603
64,112.777777778,555.006535948,73,151,107.5,2030
65,390.4,10286.7111111,289,587,342.5,3904
66,69.2,687.613793103,32,153,65.0,2076
67,74.5666666667,581.702298851,47,144,67.5,2237
68,57.8666666667,49.9816091954,35,68,57.5,1736
69,112.333333333,408.712643678,81,155,113.0,3370
70,55.6333333333,134.516091954,33,78,56.5,1669
71,142.466666667,814.326436782,83,210,142.5,4274
72,480.3,3231.94137931,383,602,484.0,14409
73,94.9333333333,148.891954023,77,130,96.0,2848
74,113.6,915.696551724,71,252,107.0,3408
75,59.3666666667,482.929885057,24,104,61.0,1781
76,39.5517241379,449.827586207,1,79,42.0,1147
77,126.366666667,1082.24022989,74,220,120.0,3791
78,52.5,96.5344827586,32,69,52.5,1575
79,104.133333333,2841.56781609,17,175,129.5,3124
80,63.2666666667,164.822988506,42,99,62.0,1898
81,109.233333333,394.529885057,73,155,110.5,3277
82,100.5,957.637931034,64,220,94.0,3015
83,132.966666667,975.895402299,80,210,126.5,3989
84,211.6,5705.28275862,128,384,173.5,6348
85,87.5,499.155172414,58,142,79.5,2625
86,130.266666667,587.167816092,97,180,123.0,3908
87,86.9666666667,3387.41264368,7,163,119.5,2609
88,433.4,10030.5931034,285,662,404.0,13002
89,51.2333333333,244.667816092,25,82,47.0,1537
90,247.6,4490.45517241,153,388,249.5,7428
91,101.733333333,672.685057471,60,193,93.5,3052
92,133.466666667,1236.94712644,81,216,126.0,4004
93,133.666666667,1102.29885057,65,186,141.0,4010
94,117.133333333,1017.42988506,69,199,111.0,3514
95,80.0666666667,316.96091954,42,106,85.5,2402
96,125.9,396.437931034,61,163,125.5,3777
97,149.866666667,1458.8091954,69,222,153.5,4496
98,82.9666666667,415.205747126,49,132,82.5,2489
99,37.8260869565,263.059288538,1,69,36.0,870
100,359.766666667,5944.18505747,212,493,374.0,10793
101,130.633333333,1771.20574713,68,297,123.5,3919
102,132.0,261.793103448,97,162,130.0,3960
103,80.4,145.282758621,63,104,80.5,2412
104,93.1,319.955172414,58,135,93.5,2793
105,106.633333333,1382.24022989,68,192,94.5,3199
106,68.6,194.317241379,51,105,66.0,2058
107,108.366666667,3465.20574713,46,242,92.0,3251
108,95.8666666667,463.498850575,64,142,95.5,2876
109,102.4,149.489655172,76,127,103.0,3072
110,142.3,828.906896552,82,197,146.0,4269
111,67.2333333333,111.564367816,47,94,67.0,2017
112,129.066666667,305.167816092,100,167,128.0,3872
113,103.966666667,1700.72298851,36,181,108.5,3119
114,538.233333333,14100.8747126,336,810,561.0,16147
115,420.433333333,5825.0816092,247,529,441.0,12613
116,340.2,16862.3034483,35,487,392.0,10206
117,178.6,5608.73103448,90,324,142.5,5358
118,75.1,1363.19655172,20,132,84.5,2253
119,61.9333333333,491.650574713,29,118,60.0,1858
120,280.466666667,2011.9816092,185,411,269.5,8414
121,52.9333333333,69.8574712644,33,67,54.5,1588
122,56.8333333333,172.350574713,36,92,54.0,1705
123,118.5,738.672413793,68,216,117.5,3555
124,392.133333333,1389.22298851,300,468,394.5,11764
125,71.3666666667,2418.51609195,31,230,55.5,2141
126,85.6666666667,357.885057471,51,140,85.0,2570
127,80.9,2077.81724138,15,195,65.5,2427
128,63.4333333333,441.288505747,30,119,59.0,1903
129,211.433333333,1988.18505747,138,327,195.5,6343
130,306.133333333,2129.15402299,216,431,296.5,9184
131,68.2666666667,443.581609195,27,113,65.5,2048
132,67.5333333333,305.567816092,42,102,63.5,2026
133,84.6666666667,819.057471264,36,131,92.5,2540
