shop_id,sum_l1w,max_l1w,median_l1w,mean_l1w,var_l1w,min_l1w
1,1700,264,244.0,242.857142857,423.476190476,207
3,549,119,71.0,78.4285714286,484.619047619,56
4,845,200,113.0,120.714285714,2164.9047619,71
5,1536,274,218.0,219.428571429,826.285714286,185
6,717,137,91.0,102.428571429,445.285714286,83
7,1023,208,136.0,146.142857143,1433.80952381,93
8,528,103,66.0,75.4285714286,415.952380952,49
9,1603,282,225.0,229.0,1176.0,192
10,656,111,96.0,93.7142857143,226.571428571,73
11,600,113,85.0,85.7142857143,330.571428571,58
12,438,83,59.0,62.5714285714,117.285714286,52
13,1708,297,235.0,244.0,618.666666667,221
14,415,79,56.0,59.2857142857,127.904761905,44
15,988,203,126.0,141.142857143,1217.14285714,111
16,334,69,42.0,47.7142857143,189.904761905,30
17,655,123,89.0,93.5714285714,388.619047619,71
18,624,112,87.0,89.1428571429,337.142857143,70
19,1245,255,163.0,177.857142857,1663.47619048,141
20,1067,167,154.0,152.428571429,130.619047619,137
21,576,114,70.0,82.2857142857,484.904761905,59
22,723,127,102.0,103.285714286,229.238095238,81
23,64,18,10.0,9.14285714286,34.8095238095,1
24,500,124,68.0,71.4285714286,1189.95238095,32
25,835,147,119.0,119.285714286,254.904761905,98
26,642,147,79.0,91.7142857143,1413.57142857,51
27,598,101,84.0,85.4285714286,145.952380952,69
28,491,86,64.0,70.1428571429,167.476190476,53
29,805,187,85.0,115.0,2045.33333333,76
30,290,58,38.0,41.4285714286,79.9523809524,31
31,2537,505,318.0,362.428571429,8582.95238095,287
32,2304,454,406.0,329.142857143,23597.1428571,90
33,538,115,66.0,76.8571428571,617.476190476,56
34,2850,539,371.0,407.142857143,6050.14285714,318
35,1020,222,130.0,145.714285714,1755.9047619,107
36,502,102,65.0,71.7142857143,251.238095238,58
37,1647,321,214.0,235.285714286,2250.9047619,195
38,541,106,79.0,77.2857142857,331.904761905,54
39,1990,370,265.0,284.285714286,3139.9047619,234
40,631,113,90.0,90.1428571429,167.142857143,72
41,1606,391,186.0,229.428571429,11338.952381,141
42,538,102,82.0,76.8571428571,276.142857143,58
43,441,94,63.0,63.0,492.666666667,22
44,393,84,51.0,56.1428571429,272.142857143,33
45,253,56,32.0,36.1428571429,160.80952381,18
46,1257,209,183.0,179.571428571,433.952380952,141
47,988,176,159.0,141.142857143,1713.80952381,79
48,3023,540,402.0,431.857142857,4753.80952381,355
49,3274,608,426.0,467.714285714,8073.57142857,382
50,442,69,66.0,63.1428571429,39.1428571429,53
51,398,82,58.0,56.8571428571,272.142857143,40
52,524,148,51.0,74.8571428571,1764.14285714,42
53,911,155,128.0,130.142857143,197.476190476,111
54,2090,352,290.0,298.571428571,959.285714286,265
55,2497,407,353.0,356.714285714,896.904761905,321
56,458,90,59.0,65.4285714286,243.619047619,48
57,1883,301,259.0,269.0,663.666666667,231
58,12150,1935,1693.0,1735.71428571,16695.2380952,1601
59,1279,215,176.0,182.714285714,596.571428571,147
60,1076,176,152.0,153.714285714,227.571428571,137
61,618,106,92.0,88.2857142857,197.571428571,64
62,599,118,84.0,85.5714285714,249.619047619,67
63,1519,257,225.0,217.0,908.0,162
64,903,151,136.0,129.0,474.0,90
65,2838,587,344.0,405.428571429,12699.6190476,323
66,408,91,52.0,58.2857142857,333.904761905,40
67,462,96,53.0,66.0,429.666666667,47
68,419,68,57.0,59.8571428571,39.1428571429,54
69,739,142,92.0,105.571428571,680.285714286,81
70,359,77,50.0,51.2857142857,199.238095238,33
71,1068,189,149.0,152.571428571,359.952380952,129
72,3626,593,499.0,518.0,2542.66666667,473
73,641,105,92.0,91.5714285714,109.619047619,78
74,836,143,114.0,119.428571429,205.952380952,106
75,508,86,73.0,72.5714285714,140.952380952,49
76,337,79,43.0,48.1428571429,220.80952381,36
77,742,146,106.0,106.0,562.333333333,74
78,392,68,56.0,56.0,55.0,45
79,884,175,139.0,126.285714286,2443.23809524,52
80,481,99,66.0,68.7142857143,218.571428571,53
81,899,155,128.0,128.428571429,325.619047619,108
82,787,147,112.0,112.428571429,495.619047619,88
83,968,190,128.0,138.285714286,999.238095238,104
84,1367,279,174.0,195.285714286,3460.9047619,131
85,579,122,74.0,82.7142857143,561.238095238,63
86,964,180,121.0,137.714285714,981.571428571,102
87,676,134,116.0,96.5714285714,2609.95238095,16
88,3397,632,453.0,485.285714286,10383.2380952,370
89,350,82,48.0,50.0,226.0,37
90,1864,380,250.0,266.285714286,5571.9047619,197
91,692,125,99.0,98.8571428571,349.142857143,73
92,1000,216,129.0,142.857142857,2103.14285714,93
93,1115,186,163.0,159.285714286,851.904761905,102
94,678,126,101.0,96.8571428571,373.80952381,69
95,604,98,87.0,86.2857142857,85.2380952381,69
96,767,129,116.0,109.571428571,571.619047619,61
97,1211,185,174.0,173.0,165.333333333,146
98,608,101,87.0,86.8571428571,174.80952381,70
99,347,69,53.0,49.5714285714,146.285714286,35
100,2659,438,383.0,379.857142857,1841.14285714,296
101,991,175,143.0,141.571428571,449.285714286,114
102,933,155,130.0,133.285714286,119.238095238,123
103,594,101,85.0,84.8571428571,230.142857143,63
104,716,122,102.0,102.285714286,239.238095238,76
105,801,185,87.0,114.428571429,2452.61904762,75
106,434,76,61.0,62.0,87.0,52
107,809,235,88.0,115.571428571,5882.95238095,46
108,734,142,95.0,104.857142857,671.142857143,79
109,720,117,105.0,102.857142857,98.8095238095,89
110,1119,180,165.0,159.857142857,213.80952381,141
111,498,80,73.0,71.1428571429,68.1428571429,59
112,858,151,116.0,122.571428571,269.285714286,105
113,939,159,146.0,134.142857143,601.80952381,86
114,4288,730,621.0,612.571428571,5657.61904762,516
115,3238,515,467.0,462.571428571,922.952380952,416
116,3108,487,457.0,444.0,1537.0,385
117,1110,258,123.0,158.571428571,4335.95238095,96
118,520,103,86.0,74.2857142857,861.238095238,28
119,431,118,45.0,61.5714285714,873.285714286,37
120,2011,387,266.0,287.285714286,2820.9047619,247
121,381,64,59.0,54.4285714286,109.285714286,33
122,437,85,55.0,62.4285714286,275.619047619,44
123,866,137,120.0,123.714285714,79.2380952381,115
