shop_id,median_l2w,sum_l2w,max_l2w,var_l2w,min_l2w,mean_l2w
1,250.5,3468,277,322.21978022,207,247.714285714
2,108.0,483,125,1363.3,34,96.6
3,76.0,1158,121,394.21978022,56,82.7142857143
4,112.5,1610,200,1271.53846154,71,115.0
5,214.5,2678,312,9788.68131868,2,191.285714286
6,84.0,1210,137,671.956043956,30,86.4285714286
7,138.0,1989,208,1067.60989011,93,142.071428571
8,73.5,1029,103,228.884615385,49,73.5
9,227.5,3178,282,818.615384615,187,227.0
10,82.5,1137,111,491.71978022,43,81.2142857143
11,75.5,1020,113,451.208791209,43,72.8571428571
12,67.0,1047,116,481.258241758,52,74.7857142857
13,229.5,3199,297,764.115384615,177,228.5
14,59.5,813,79,108.225274725,41,58.0714285714
15,131.0,1985,203,1072.95054945,111,141.785714286
16,49.0,725,80,260.335164835,30,51.7857142857
17,83.0,1217,123,268.686813187,62,86.9285714286
18,74.0,1120,112,357.384615385,54,80.0
19,151.5,2316,255,1107.95604396,132,165.428571429
20,151.5,1934,167,760.43956044,89,138.142857143
21,78.5,1196,127,425.648351648,59,85.4285714286
22,83.5,1201,127,524.181318681,49,85.7857142857
23,10.0,120,18,41.858974359,1,9.23076923077
24,66.0,996,124,931.978021978,32,71.1428571429
25,113.5,1625,147,250.994505495,96,116.071428571
26,86.5,1358,147,905.692307692,51,97.0
27,77.0,1106,101,230.0,51,79.0
28,78.0,1041,103,212.247252747,53,74.3571428571
29,113.5,1573,187,1109.32417582,76,112.357142857
30,47.5,669,66,102.489010989,31,47.7857142857
31,327.5,5033,505,5888.57692308,287,359.5
32,383.5,3974,454,24985.2087912,86,283.857142857
33,78.0,1154,115,462.417582418,56,82.4285714286
34,372.5,5469,539,3646.55494505,318,390.642857143
35,167.0,2242,222,1219.20879121,107,160.142857143
36,72.0,1043,102,181.5,58,74.5
37,199.5,2854,321,2966.13186813,114,203.857142857
38,73.0,1004,106,443.604395604,34,71.7142857143
39,263.0,3852,370,2801.82417582,216,275.142857143
40,86.0,1202,113,141.978021978,64,85.8571428571
41,185.5,3021,391,6919.25824176,132,215.785714286
42,86.0,1253,129,496.269230769,58,89.5
43,83.0,1385,193,2726.99450549,22,98.9285714286
44,60.0,852,84,197.978021978,33,60.8571428571
45,38.5,585,74,303.258241758,18,41.7857142857
46,177.5,2281,209,933.917582418,116,162.928571429
47,153.5,1630,176,3038.57142857,39,116.428571429
48,449.5,6530,594,6351.18681319,355,466.428571429
49,437.5,6332,608,4440.83516484,369,452.285714286
50,67.0,943,95,149.324175824,46,67.3571428571
51,51.0,676,82,567.912087912,11,48.2857142857
52,89.5,1200,148,1223.91208791,42,85.7142857143
53,122.5,1705,155,250.642857143,98,121.785714286
54,314.0,4387,404,1711.01648352,265,313.357142857
55,299.0,4296,407,3298.74725275,224,306.857142857
56,58.5,975,111,429.93956044,48,69.6428571429
57,295.5,4451,440,4415.60989011,231,317.928571429
58,1656.5,23495,1935,13761.5659341,1505,1678.21428571
59,201.5,2774,274,2204.13186813,123,198.142857143
60,145.0,2034,176,281.604395604,115,145.285714286
61,75.0,1079,106,246.840659341,61,77.0714285714
62,87.5,1500,221,2152.59340659,67,107.142857143
63,221.0,3035,257,750.181318681,162,216.785714286
64,118.5,1653,151,538.994505495,81,118.071428571
65,342.5,3904,587,10286.7111111,289,390.4
66,62.0,892,96,287.450549451,40,63.7142857143
67,57.5,895,96,242.071428571,47,63.9285714286
68,57.0,830,68,42.2197802198,47,59.2857142857
69,112.0,1534,142,397.802197802,81,109.571428571
70,52.0,768,78,191.978021978,33,54.8571428571
71,143.0,1917,189,841.302197802,83,136.928571429
72,485.5,6775,593,3510.07142857,383,483.928571429
73,96.5,1331,105,70.8406593407,78,95.0714285714
74,107.0,1531,143,225.631868132,91,109.357142857
75,64.0,816,86,392.527472527,29,58.2857142857
76,47.0,703,79,227.258241758,32,50.2142857143
77,111.5,1588,147,462.263736264,74,113.428571429
78,52.0,724,68,69.7582417582,33,51.7142857143
79,111.0,1367,175,3027.47802198,22,97.6428571429
80,65.5,912,99,158.43956044,48,65.1428571429
81,114.5,1599,155,577.71978022,81,114.214285714
82,101.0,1445,147,629.71978022,67,103.214285714
83,132.5,1897,190,781.807692308,88,135.5
84,183.5,3122,384,6798.15384615,131,223.0
85,78.5,1184,122,376.263736264,63,84.5714285714
86,122.5,1837,180,707.71978022,97,131.214285714
87,115.0,1160,163,3641.67032967,9,82.8571428571
88,411.5,6021,632,10344.2252747,296,430.071428571
89,48.5,708,82,161.186813187,32,50.5714285714
90,251.5,3677,380,3148.24725275,197,262.642857143
91,102.5,1392,125,309.802197802,73,99.4285714286
92,133.5,2010,216,1297.18681319,93,143.571428571
93,152.5,2006,186,1183.6043956,92,143.285714286
94,104.0,1530,160,747.450549451,69,109.285714286
95,84.0,1087,98,273.17032967,42,77.6428571429
96,117.5,1593,130,332.489010989,61,113.785714286
97,169.5,2223,201,889.565934066,99,158.785714286
98,91.0,1244,109,149.362637363,70,88.8571428571
99,45.5,417,69,376.011111111,1,41.7
100,374.0,4966,466,3862.37362637,252,354.714285714
101,127.0,1798,175,608.417582418,82,128.428571429
102,128.0,1815,157,189.016483516,107,129.642857143
103,80.0,1121,101,180.686813187,63,80.0714285714
104,93.5,1301,122,313.456043956,58,92.9285714286
105,93.0,1457,185,1370.99450549,70,104.071428571
106,61.0,885,95,135.104395604,51,63.2142857143
107,98.5,1617,235,3841.19230769,46,115.5
108,96.0,1378,142,516.725274725,64,98.4285714286
109,101.5,1402,117,84.5934065934,89,100.142857143
110,147.5,1940,180,987.648351648,82,138.571428571
111,65.5,918,80,97.6483516484,51,65.5714285714
112,129.5,1802,154,227.296703297,105,128.714285714
