,id,city,loc,per_pay,score,comment,shop_level,cate_1,cate_2,cate_3,city_level
0,1,湖州,885,8,4.0,12.0,3,美食,休闲茶饮,饮品/甜点,1
1,2,哈尔滨,64,19,,,2,超市便利店,超市,,1
2,3,南昌,774,5,3.0,2.0,1,美食,休闲茶饮,奶茶,2
3,4,天津,380,18,,,2,超市便利店,超市,,2
4,5,杭州,263,2,2.0,2.0,1,美食,休闲食品,生鲜水果,5
5,6,大连,1139,13,3.0,1.0,1,美食,烘焙糕点,面包,2
6,7,绍兴,145,13,3.0,9.0,3,美食,快餐,西式快餐,3
7,8,杭州,234,16,3.0,1.0,1,美食,休闲食品,生鲜水果,5
8,9,杭州,1120,15,4.0,0.0,2,超市便利店,超市,,5
9,10,孝感,98,10,,,1,超市便利店,超市,,1
10,11,上海,134,12,3.0,1.0,1,美食,小吃,其它小吃,5
11,12,宁波,786,20,1.0,2.0,1,美食,中餐,东北菜,3
12,13,杭州,286,6,0.0,2.0,1,美食,快餐,中式快餐,5
13,14,深圳,862,7,1.0,4.0,3,美食,快餐,中式快餐,4
14,15,西安,101,19,,,1,超市便利店,超市,,2
15,16,武汉,510,17,3.0,3.0,3,美食,小吃,其它小吃,5
16,17,厦门,707,15,2.0,7.0,3,美食,快餐,西式快餐,3
17,18,福州,260,7,4.0,1.0,1,美食,火锅,麻辣烫/串串香,3
18,19,上海,701,11,3.0,5.0,3,美食,休闲茶饮,饮品/甜点,5
19,20,广州,251,5,2.0,3.0,1,美食,汤/粥/煲/砂锅/炖菜,粥,5
20,21,上海,860,9,3.0,1.0,1,美食,烘焙糕点,蛋糕,5
21,22,重庆,777,6,2.0,3.0,3,美食,烘焙糕点,面包,2
22,23,青岛,645,3,3.0,0.0,2,超市便利店,便利店,,3
23,24,温州,1058,12,2.0,2.0,2,美食,其他美食,西餐,4
24,25,昆明,354,14,3.0,9.0,3,美食,快餐,西式快餐,1
25,26,厦门,620,12,1.0,3.0,2,美食,快餐,中式快餐,3
26,27,济南,109,2,3.0,2.0,2,美食,快餐,中式快餐,3
27,28,泉州,975,14,2.0,4.0,3,美食,快餐,西式快餐,1
28,29,广州,552,6,1.0,2.0,1,美食,小吃,米粉/米线,5
29,30,中山,498,7,2.0,2.0,3,美食,快餐,西式快餐,1
30,31,北京,571,18,,,2,超市便利店,超市,,5
31,32,杭州,789,2,4.0,0.0,2,超市便利店,便利店,,5
32,33,成都,1159,20,,,2,超市便利店,超市,,3
33,34,南京,680,4,3.0,10.0,1,美食,休闲茶饮,奶茶,5
34,35,东莞,296,18,2.0,0.0,1,超市便利店,超市,,2
35,36,中山,795,17,4.0,0.0,1,超市便利店,超市,,1
36,37,上海,639,9,3.0,4.0,3,美食,快餐,西式快餐,5
37,38,广州,36,2,3.0,0.0,1,超市便利店,便利店,,5
38,39,上海,205,9,2.0,6.0,1,美食,休闲食品,生鲜水果,5
39,40,湖州,1125,18,,,1,超市便利店,超市,,1
40,41,上海,1054,10,3.0,9.0,3,美食,快餐,西式快餐,5
41,42,武汉,198,1,3.0,2.0,1,美食,休闲茶饮,奶茶,5
42,43,上饶,102,15,2.0,3.0,3,美食,快餐,西式快餐,1
43,44,郑州,1088,20,4.0,5.0,3,美食,火锅,川味/重庆火锅,2
44,45,宁波,436,16,1.0,0.0,1,美食,中餐,川菜,3
45,46,南京,575,10,0.0,0.0,2,超市便利店,超市,,5
46,47,北京,322,6,,,2,超市便利店,便利店,,5
47,48,绍兴,516,18,,,1,超市便利店,超市,,3
48,49,南通,253,19,3.0,0.0,2,超市便利店,超市,,2
49,50,上海,93,14,3.0,0.0,3,美食,烘焙糕点,面包,5
50,51,北京,659,12,2.0,3.0,3,美食,快餐,中式快餐,5
51,52,绍兴,192,7,3.0,2.0,1,美食,休闲茶饮,奶茶,3
52,53,杭州,264,2,,,2,超市便利店,便利店,,5
53,54,武汉,423,9,0.0,0.0,2,超市便利店,超市,,5
54,55,上海,357,10,3.0,8.0,3,美食,快餐,西式快餐,5
55,56,成都,55,14,3.0,6.0,3,美食,快餐,西式快餐,3
56,57,上海,229,14,2.0,8.0,3,美食,快餐,西式快餐,5
57,58,杭州,1093,19,3.0,2.0,2,超市便利店,超市,,5
58,59,上海,229,4,,,2,超市便利店,便利店,,5
59,60,成都,730,8,3.0,5.0,3,美食,烘焙糕点,面包,3
60,61,厦门,203,4,3.0,1.0,1,美食,小吃,面点,3
61,62,盐城,872,15,3.0,7.0,3,美食,快餐,西式快餐,1
62,63,温州,158,17,,,1,超市便利店,超市,,4
63,64,成都,197,1,4.0,6.0,1,美食,休闲茶饮,冰激凌,3
64,65,上海,731,20,,,2,超市便利店,超市,,5
65,66,宁波,58,2,1.0,0.0,2,超市便利店,便利店,,3
66,67,南京,297,7,1.0,2.0,1,美食,小吃,面点,5
67,68,广州,490,3,,,2,超市便利店,便利店,,5
68,69,南京,422,14,3.0,1.0,1,休闲娱乐,网吧网咖,,5
69,70,北京,667,15,4.0,2.0,3,美食,烘焙糕点,蛋糕,5
70,71,北京,761,9,3.0,2.0,2,美食,烘焙糕点,面包,5
71,72,广州,552,17,4.0,0.0,2,超市便利店,超市,,5
72,73,苏州,780,16,,,1,超市便利店,超市,,4
73,74,上海,898,12,1.0,1.0,1,美食,快餐,其它快餐,5
74,75,济南,1104,1,4.0,1.0,1,美食,休闲茶饮,奶茶,3
75,76,厦门,687,19,3.0,1.0,1,美食,烘焙糕点,面包,3
76,77,宁波,429,17,1.0,2.0,1,美食,休闲茶饮,咖啡厅,3
77,78,上海,699,8,1.0,1.0,1,美食,快餐,中式快餐,5
78,79,上海,1033,15,2.0,3.0,2,美食,快餐,中式快餐,5
79,80,金华,874,17,,,1,超市便利店,超市,,3
80,81,上海,943,3,3.0,0.0,1,美食,休闲食品,生鲜水果,5
81,82,广州,47,6,1.0,4.0,2,美食,中餐,粤菜,5
82,83,无锡,180,12,3.0,5.0,2,美食,快餐,西式快餐,3
83,84,上海,697,11,3.0,3.0,1,美食,烘焙糕点,面包,5
84,85,苏州,138,12,3.0,5.0,3,美食,快餐,西式快餐,4
85,86,成都,910,19,3.0,0.0,2,超市便利店,超市,,3
86,87,福州,122,5,2.0,1.0,1,美食,快餐,中式快餐,3
87,88,温州,665,13,3.0,13.0,3,美食,快餐,西式快餐,4
88,89,重庆,754,17,4.0,0.0,2,超市便利店,超市,,2
89,90,上海,507,15,3.0,6.0,3,美食,烘焙糕点,面包,5
90,91,福州,930,18,,,1,超市便利店,超市,,3
91,92,成都,818,19,4.0,0.0,2,超市便利店,超市,,3
92,93,深圳,813,5,0.0,1.0,1,美食,快餐,中式快餐,4
93,94,深圳,79,10,3.0,1.0,1,美食,烘焙糕点,其它烘焙糕点,4
94,95,济南,682,4,3.0,1.0,1,美食,小吃,面点,3
95,96,武汉,65,1,3.0,2.0,1,美食,小吃,面点,5
96,97,廊坊,240,4,3.0,0.0,1,美食,休闲食品,生鲜水果,1
97,98,广州,587,12,1.0,1.0,2,美食,快餐,中式快餐,5
98,99,沈阳,692,5,4.0,1.0,1,美食,休闲食品,生鲜水果,2
99,100,南京,215,8,3.0,13.0,3,美食,快餐,西式快餐,5
100,101,温州,585,5,3.0,3.0,1,美食,烧烤,中式烧烤,4
101,102,杭州,914,13,,,1,超市便利店,超市,,5
102,103,北京,977,4,1.0,1.0,1,美食,小吃,其它小吃,5
103,104,福州,939,13,2.0,5.0,3,美食,快餐,西式快餐,3
104,105,苏州,15,14,3.0,7.0,3,美食,快餐,西式快餐,4
105,106,广州,309,2,4.0,0.0,1,超市便利店,便利店,,5
106,107,杭州,1093,7,3.0,3.0,1,美食,休闲茶饮,奶茶,5
107,108,上海,1010,8,2.0,3.0,3,美食,快餐,西式快餐,5
108,109,金华,622,11,,,1,超市便利店,便利店,,3
109,110,北京,982,7,,,2,超市便利店,便利店,,5
110,111,北京,430,9,3.0,3.0,3,美食,休闲茶饮,饮品/甜点,5
111,112,珠海,204,18,3.0,0.0,2,超市便利店,超市,,1
112,113,厦门,1107,1,,,1,超市便利店,超市,,3
113,114,上海,134,9,3.0,15.0,3,美食,快餐,西式快餐,5
114,115,杭州,89,6,2.0,6.0,1,美食,快餐,中式快餐,5
115,116,杭州,386,2,,,1,超市便利店,超市,,5
116,117,杭州,523,20,0.0,3.0,3,美食,中餐,江浙菜,5
117,118,北京,652,8,2.0,0.0,1,美食,快餐,中式快餐,5
118,119,保定,1087,10,3.0,2.0,3,美食,快餐,西式快餐,1
119,120,杭州,1111,14,,,1,超市便利店,超市,,5
120,121,上海,406,8,3.0,3.0,3,美食,快餐,中式快餐,5
121,122,上海,572,16,3.0,1.0,1,美食,快餐,其它快餐,5
122,123,北京,114,10,2.0,3.0,1,美食,休闲食品,生鲜水果,5
123,124,杭州,1094,17,3.0,0.0,2,超市便利店,超市,,5
124,125,大连,877,11,4.0,3.0,3,美食,快餐,西式快餐,2
125,126,成都,112,5,3.0,0.0,1,美食,小吃,其它小吃,3
126,127,武汉,317,13,1.0,3.0,2,美食,快餐,西式快餐,5
