,col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50,col_51,col_52,col_53,col_54,col_55,col_56,col_57,col_58,col_59,col_60,col_61,col_62,col_63,col_64,col_65,col_66,col_67,col_68,col_69,col_70,col_71,col_72,col_73,col_74,col_75,col_76,col_77,col_78,col_79,col_80,col_81,col_82,col_83,col_84,col_85,col_86,col_87,col_88,col_89,col_90,col_91,col_92,col_93,col_94,col_95,col_96,col_97,col_98,col_99,col_100,col_101,col_102,col_103,col_104,col_105,col_106,col_107,col_108,col_109,col_110,col_111,col_112,col_113,col_114,col_115,col_116,col_117,col_118,col_119,col_120,col_121,col_122,col_123,col_124,col_125,col_126,col_127,col_128,col_129,col_130,col_131,col_132,col_133,col_134,col_135,col_136,col_137,col_138,col_139,col_140,col_141,col_142,col_143,col_144,col_145,col_146,col_147,col_148,col_149,col_150,col_151,col_152,col_153,col_154,col_155,col_156,col_157,col_158,col_159,col_160,col_161,col_162,col_163,col_164,col_165,col_166,col_167,col_168,col_169,col_170,col_171,col_172,col_173,col_174,col_175,col_176,col_177,col_178,col_179,col_180,col_181,col_182,col_183,col_184,col_185,col_186,col_187,col_188,col_189,col_190,col_191,col_192,col_193,col_194,col_195,col_196,col_197,col_198,col_199,col_200,col_201,col_202,col_203,col_204,col_205,col_206,col_207,col_208,col_209,col_210,col_211,col_212,col_213,col_214,col_215,col_216,col_217,col_218,col_219,col_220,col_221,col_222,col_223,col_224,col_225,col_226,col_227,col_228,col_229,col_230,sum,mean,var,weekend,day_pay,city_level
0,223.0,206.0,220.0,241.0,272.0,240.0,225.0,254.0,239.0,228.0,244.0,264.0,264.0,207.0,244.0,177.0,207.0,230.0,202.0,243.0,216.0,45938.0,49060.0,53743.0,60656.0,53520.0,50175.0,56642.0,53297.0,50844.0,54412.0,58872.0,58872.0,46161.0,54412.0,39471.0,46161.0,51290.0,45046.0,54189.0,48168.0,45320.0,49646.0,56032.0,49440.0,46350.0,52324.0,49234.0,46968.0,50264.0,54384.0,54384.0,42642.0,50264.0,36462.0,42642.0,47380.0,41612.0,50058.0,44496.0,53020.0,59840.0,52800.0,49500.0,55880.0,52580.0,50160.0,53680.0,58080.0,58080.0,45540.0,53680.0,38940.0,45540.0,50600.0,44440.0,53460.0,47520.0,65552.0,57840.0,54225.0,61214.0,57599.0,54948.0,58804.0,63624.0,63624.0,49887.0,58804.0,42657.0,49887.0,55430.0,48682.0,58563.0,52056.0,65280.0,61200.0,69088.0,65008.0,62016.0,66368.0,71808.0,71808.0,56304.0,66368.0,48144.0,56304.0,62560.0,54944.0,66096.0,58752.0,54000.0,60960.0,57360.0,54720.0,58560.0,63360.0,63360.0,49680.0,58560.0,42480.0,49680.0,55200.0,48480.0,58320.0,51840.0,57150.0,53775.0,51300.0,54900.0,59400.0,59400.0,46575.0,54900.0,39825.0,46575.0,51750.0,45450.0,54675.0,48600.0,60706.0,57912.0,61976.0,67056.0,67056.0,52578.0,61976.0,44958.0,52578.0,58420.0,51308.0,61722.0,54864.0,54492.0,58316.0,63096.0,63096.0,49473.0,58316.0,42303.0,49473.0,54970.0,48278.0,58077.0,51624.0,55632.0,60192.0,60192.0,47196.0,55632.0,40356.0,47196.0,52440.0,46056.0,55404.0,49248.0,64416.0,64416.0,50508.0,59536.0,43188.0,50508.0,56120.0,49288.0,59292.0,52704.0,69696.0,54648.0,64416.0,46728.0,54648.0,60720.0,53328.0,64152.0,57024.0,54648.0,64416.0,46728.0,54648.0,60720.0,53328.0,64152.0,57024.0,50508.0,36639.0,42849.0,47610.0,41814.0,50301.0,44712.0,43188.0,50508.0,56120.0,49288.0,59292.0,52704.0,36639.0,40710.0,35754.0,43011.0,38232.0,47610.0,41814.0,50301.0,44712.0,46460.0,55890.0,49680.0,49086.0,43632.0,52488.0,4846.0,230.761904762,555.19047619,0.306438299629,8,1
1,77.0,82.0,71.0,71.0,96.0,121.0,67.0,92.9090909091,92.9090909091,92.9090909091,92.9090909091,92.9090909091,92.9090909091,92.9090909091,92.9090909091,92.9090909091,92.9090909091,61.0,155.0,143.0,78.0,6314.0,5467.0,5467.0,7392.0,9317.0,5159.0,7154.0,7154.0,7154.0,7154.0,7154.0,7154.0,7154.0,7154.0,7154.0,7154.0,4697.0,11935.0,11011.0,6006.0,5822.0,5822.0,7872.0,9922.0,5494.0,7618.54545455,7618.54545455,7618.54545455,7618.54545455,7618.54545455,7618.54545455,7618.54545455,7618.54545455,7618.54545455,7618.54545455,5002.0,12710.0,11726.0,6396.0,5041.0,6816.0,8591.0,4757.0,6596.54545455,6596.54545455,6596.54545455,6596.54545455,6596.54545455,6596.54545455,6596.54545455,6596.54545455,6596.54545455,6596.54545455,4331.0,11005.0,10153.0,5538.0,6816.0,8591.0,4757.0,6596.54545455,6596.54545455,6596.54545455,6596.54545455,6596.54545455,6596.54545455,6596.54545455,6596.54545455,6596.54545455,6596.54545455,4331.0,11005.0,10153.0,5538.0,11616.0,6432.0,8919.27272727,8919.27272727,8919.27272727,8919.27272727,8919.27272727,8919.27272727,8919.27272727,8919.27272727,8919.27272727,8919.27272727,5856.0,14880.0,13728.0,7488.0,8107.0,11242.0,11242.0,11242.0,11242.0,11242.0,11242.0,11242.0,11242.0,11242.0,11242.0,7381.0,18755.0,17303.0,9438.0,6224.90909091,6224.90909091,6224.90909091,6224.90909091,6224.90909091,6224.90909091,6224.90909091,6224.90909091,6224.90909091,6224.90909091,4087.0,10385.0,9581.0,5226.0,8632.09917355,8632.09917355,8632.09917355,8632.09917355,8632.09917355,8632.09917355,8632.09917355,8632.09917355,8632.09917355,5667.45454545,14400.9090909,13286.0,7246.90909091,8632.09917355,8632.09917355,8632.09917355,8632.09917355,8632.09917355,8632.09917355,8632.09917355,8632.09917355,5667.45454545,14400.9090909,13286.0,7246.90909091,8632.09917355,8632.09917355,8632.09917355,8632.09917355,8632.09917355,8632.09917355,8632.09917355,5667.45454545,14400.9090909,13286.0,7246.90909091,8632.09917355,8632.09917355,8632.09917355,8632.09917355,8632.09917355,8632.09917355,5667.45454545,14400.9090909,13286.0,7246.90909091,8632.09917355,8632.09917355,8632.09917355,8632.09917355,8632.09917355,5667.45454545,14400.9090909,13286.0,7246.90909091,8632.09917355,8632.09917355,8632.09917355,8632.09917355,5667.45454545,14400.9090909,13286.0,7246.90909091,8632.09917355,8632.09917355,8632.09917355,5667.45454545,14400.9090909,13286.0,7246.90909091,8632.09917355,8632.09917355,5667.45454545,14400.9090909,13286.0,7246.90909091,8632.09917355,5667.45454545,14400.9090909,13286.0,7246.90909091,5667.45454545,14400.9090909,13286.0,7246.90909091,9455.0,8723.0,4758.0,22165.0,12090.0,11154.0,1951.09090909,92.9090909091,520.345454545,0.359192992265,19,1
2,62.0,59.0,55.0,79.0,112.0,83.0,88.0,68.0,63.0,56.0,71.0,119.0,97.0,75.0,59.0,71.0,88.0,103.0,127.0,125.0,47.0,3658.0,3410.0,4898.0,6944.0,5146.0,5456.0,4216.0,3906.0,3472.0,4402.0,7378.0,6014.0,4650.0,3658.0,4402.0,5456.0,6386.0,7874.0,7750.0,2914.0,3245.0,4661.0,6608.0,4897.0,5192.0,4012.0,3717.0,3304.0,4189.0,7021.0,5723.0,4425.0,3481.0,4189.0,5192.0,6077.0,7493.0,7375.0,2773.0,4345.0,6160.0,4565.0,4840.0,3740.0,3465.0,3080.0,3905.0,6545.0,5335.0,4125.0,3245.0,3905.0,4840.0,5665.0,6985.0,6875.0,2585.0,8848.0,6557.0,6952.0,5372.0,4977.0,4424.0,5609.0,9401.0,7663.0,5925.0,4661.0,5609.0,6952.0,8137.0,10033.0,9875.0,3713.0,9296.0,9856.0,7616.0,7056.0,6272.0,7952.0,13328.0,10864.0,8400.0,6608.0,7952.0,9856.0,11536.0,14224.0,14000.0,5264.0,7304.0,5644.0,5229.0,4648.0,5893.0,9877.0,8051.0,6225.0,4897.0,5893.0,7304.0,8549.0,10541.0,10375.0,3901.0,5984.0,5544.0,4928.0,6248.0,10472.0,8536.0,6600.0,5192.0,6248.0,7744.0,9064.0,11176.0,11000.0,4136.0,4284.0,3808.0,4828.0,8092.0,6596.0,5100.0,4012.0,4828.0,5984.0,7004.0,8636.0,8500.0,3196.0,3528.0,4473.0,7497.0,6111.0,4725.0,3717.0,4473.0,5544.0,6489.0,8001.0,7875.0,2961.0,3976.0,6664.0,5432.0,4200.0,3304.0,3976.0,4928.0,5768.0,7112.0,7000.0,2632.0,8449.0,6887.0,5325.0,4189.0,5041.0,6248.0,7313.0,9017.0,8875.0,3337.0,11543.0,8925.0,7021.0,8449.0,10472.0,12257.0,15113.0,14875.0,5593.0,7275.0,5723.0,6887.0,8536.0,9991.0,12319.0,12125.0,4559.0,4425.0,5325.0,6600.0,7725.0,9525.0,9375.0,3525.0,4189.0,5192.0,6077.0,7493.0,7375.0,2773.0,6248.0,7313.0,9017.0,8875.0,3337.0,9064.0,11176.0,11000.0,4136.0,13081.0,12875.0,4841.0,15875.0,5969.0,5875.0,1707.0,81.2857142857,590.814285714,0.388400702988,5,2
3,74.0,101.0,102.0,98.0,203.0,199.0,91.0,86.0,113.0,71.0,121.0,165.0,200.0,89.0,90.0,112.0,59.0,80.0,211.0,221.0,81.0,7474.0,7548.0,7252.0,15022.0,14726.0,6734.0,6364.0,8362.0,5254.0,8954.0,12210.0,14800.0,6586.0,6660.0,8288.0,4366.0,5920.0,15614.0,16354.0,5994.0,10302.0,9898.0,20503.0,20099.0,9191.0,8686.0,11413.0,7171.0,12221.0,16665.0,20200.0,8989.0,9090.0,11312.0,5959.0,8080.0,21311.0,22321.0,8181.0,9996.0,20706.0,20298.0,9282.0,8772.0,11526.0,7242.0,12342.0,16830.0,20400.0,9078.0,9180.0,11424.0,6018.0,8160.0,21522.0,22542.0,8262.0,19894.0,19502.0,8918.0,8428.0,11074.0,6958.0,11858.0,16170.0,19600.0,8722.0,8820.0,10976.0,5782.0,7840.0,20678.0,21658.0,7938.0,40397.0,18473.0,17458.0,22939.0,14413.0,24563.0,33495.0,40600.0,18067.0,18270.0,22736.0,11977.0,16240.0,42833.0,44863.0,16443.0,18109.0,17114.0,22487.0,14129.0,24079.0,32835.0,39800.0,17711.0,17910.0,22288.0,11741.0,15920.0,41989.0,43979.0,16119.0,7826.0,10283.0,6461.0,11011.0,15015.0,18200.0,8099.0,8190.0,10192.0,5369.0,7280.0,19201.0,20111.0,7371.0,9718.0,6106.0,10406.0,14190.0,17200.0,7654.0,7740.0,9632.0,5074.0,6880.0,18146.0,19006.0,6966.0,8023.0,13673.0,18645.0,22600.0,10057.0,10170.0,12656.0,6667.0,9040.0,23843.0,24973.0,9153.0,8591.0,11715.0,14200.0,6319.0,6390.0,7952.0,4189.0,5680.0,14981.0,15691.0,5751.0,19965.0,24200.0,10769.0,10890.0,13552.0,7139.0,9680.0,25531.0,26741.0,9801.0,33000.0,14685.0,14850.0,18480.0,9735.0,13200.0,34815.0,36465.0,13365.0,17800.0,18000.0,22400.0,11800.0,16000.0,42200.0,44200.0,16200.0,8010.0,9968.0,5251.0,7120.0,18779.0,19669.0,7209.0,10080.0,5310.0,7200.0,18990.0,19890.0,7290.0,6608.0,8960.0,23632.0,24752.0,9072.0,4720.0,12449.0,13039.0,4779.0,16880.0,17680.0,6480.0,46631.0,17091.0,17901.0,2567.0,122.238095238,2821.59047619,0.467082197117,18,2
4,277.0,272.0,309.0,182.0,179.0,4.0,305.0,223.0,218.0,230.0,195.0,185.0,211.0,274.0,201.0,210.0,221.0,187.0,161.0,240.0,454.0,75344.0,85593.0,50414.0,49583.0,1108.0,84485.0,61771.0,60386.0,63710.0,54015.0,51245.0,58447.0,75898.0,55677.0,58170.0,61217.0,51799.0,44597.0,66480.0,125758.0,84048.0,49504.0,48688.0,1088.0,82960.0,60656.0,59296.0,62560.0,53040.0,50320.0,57392.0,74528.0,54672.0,57120.0,60112.0,50864.0,43792.0,65280.0,123488.0,56238.0,55311.0,1236.0,94245.0,68907.0,67362.0,71070.0,60255.0,57165.0,65199.0,84666.0,62109.0,64890.0,68289.0,57783.0,49749.0,74160.0,140286.0,32578.0,728.0,55510.0,40586.0,39676.0,41860.0,35490.0,33670.0,38402.0,49868.0,36582.0,38220.0,40222.0,34034.0,29302.0,43680.0,82628.0,716.0,54595.0,39917.0,39022.0,41170.0,34905.0,33115.0,37769.0,49046.0,35979.0,37590.0,39559.0,33473.0,28819.0,42960.0,81266.0,1220.0,892.0,872.0,920.0,780.0,740.0,844.0,1096.0,804.0,840.0,884.0,748.0,644.0,960.0,1816.0,68015.0,66490.0,70150.0,59475.0,56425.0,64355.0,83570.0,61305.0,64050.0,67405.0,57035.0,49105.0,73200.0,138470.0,48614.0,51290.0,43485.0,41255.0,47053.0,61102.0,44823.0,46830.0,49283.0,41701.0,35903.0,53520.0,101242.0,50140.0,42510.0,40330.0,45998.0,59732.0,43818.0,45780.0,48178.0,40766.0,35098.0,52320.0,98972.0,44850.0,42550.0,48530.0,63020.0,46230.0,48300.0,50830.0,43010.0,37030.0,55200.0,104420.0,36075.0,41145.0,53430.0,39195.0,40950.0,43095.0,36465.0,31395.0,46800.0,88530.0,39035.0,50690.0,37185.0,38850.0,40885.0,34595.0,29785.0,44400.0,83990.0,57814.0,42411.0,44310.0,46631.0,39457.0,33971.0,50640.0,95794.0,55074.0,57540.0,60554.0,51238.0,44114.0,65760.0,124396.0,42210.0,44421.0,37587.0,32361.0,48240.0,91254.0,46410.0,39270.0,33810.0,50400.0,95340.0,41327.0,35581.0,53040.0,100334.0,30107.0,44880.0,84898.0,38640.0,73094.0,108960.0,4738.0,225.619047619,6768.24761905,0.206838328409,2,5
5,77.0,68.0,74.0,73.0,67.0,89.0,83.0,83.0,91.0,90.0,121.0,112.0,137.0,83.0,104.0,104.0,90.0,107.0,88.0,76.0,104.0,5236.0,5698.0,5621.0,5159.0,6853.0,6391.0,6391.0,7007.0,6930.0,9317.0,8624.0,10549.0,6391.0,8008.0,8008.0,6930.0,8239.0,6776.0,5852.0,8008.0,5032.0,4964.0,4556.0,6052.0,5644.0,5644.0,6188.0,6120.0,8228.0,7616.0,9316.0,5644.0,7072.0,7072.0,6120.0,7276.0,5984.0,5168.0,7072.0,5402.0,4958.0,6586.0,6142.0,6142.0,6734.0,6660.0,8954.0,8288.0,10138.0,6142.0,7696.0,7696.0,6660.0,7918.0,6512.0,5624.0,7696.0,4891.0,6497.0,6059.0,6059.0,6643.0,6570.0,8833.0,8176.0,10001.0,6059.0,7592.0,7592.0,6570.0,7811.0,6424.0,5548.0,7592.0,5963.0,5561.0,5561.0,6097.0,6030.0,8107.0,7504.0,9179.0,5561.0,6968.0,6968.0,6030.0,7169.0,5896.0,5092.0,6968.0,7387.0,7387.0,8099.0,8010.0,10769.0,9968.0,12193.0,7387.0,9256.0,9256.0,8010.0,9523.0,7832.0,6764.0,9256.0,6889.0,7553.0,7470.0,10043.0,9296.0,11371.0,6889.0,8632.0,8632.0,7470.0,8881.0,7304.0,6308.0,8632.0,7553.0,7470.0,10043.0,9296.0,11371.0,6889.0,8632.0,8632.0,7470.0,8881.0,7304.0,6308.0,8632.0,8190.0,11011.0,10192.0,12467.0,7553.0,9464.0,9464.0,8190.0,9737.0,8008.0,6916.0,9464.0,10890.0,10080.0,12330.0,7470.0,9360.0,9360.0,8100.0,9630.0,7920.0,6840.0,9360.0,13552.0,16577.0,10043.0,12584.0,12584.0,10890.0,12947.0,10648.0,9196.0,12584.0,15344.0,9296.0,11648.0,11648.0,10080.0,11984.0,9856.0,8512.0,11648.0,11371.0,14248.0,14248.0,12330.0,14659.0,12056.0,10412.0,14248.0,8632.0,8632.0,7470.0,8881.0,7304.0,6308.0,8632.0,10816.0,9360.0,11128.0,9152.0,7904.0,10816.0,9360.0,11128.0,9152.0,7904.0,10816.0,9630.0,7920.0,6840.0,9360.0,9416.0,8132.0,11128.0,6688.0,9152.0,7904.0,1921.0,91.4761904762,328.061904762,0.296199895888,13,2
6,105.0,116.0,105.0,141.0,168.0,180.0,109.0,136.0,93.0,128.0,140.0,183.0,208.0,135.0,101.0,94.0,113.0,132.0,152.0,200.0,124.0,12180.0,11025.0,14805.0,17640.0,18900.0,11445.0,14280.0,9765.0,13440.0,14700.0,19215.0,21840.0,14175.0,10605.0,9870.0,11865.0,13860.0,15960.0,21000.0,13020.0,12180.0,16356.0,19488.0,20880.0,12644.0,15776.0,10788.0,14848.0,16240.0,21228.0,24128.0,15660.0,11716.0,10904.0,13108.0,15312.0,17632.0,23200.0,14384.0,14805.0,17640.0,18900.0,11445.0,14280.0,9765.0,13440.0,14700.0,19215.0,21840.0,14175.0,10605.0,9870.0,11865.0,13860.0,15960.0,21000.0,13020.0,23688.0,25380.0,15369.0,19176.0,13113.0,18048.0,19740.0,25803.0,29328.0,19035.0,14241.0,13254.0,15933.0,18612.0,21432.0,28200.0,17484.0,30240.0,18312.0,22848.0,15624.0,21504.0,23520.0,30744.0,34944.0,22680.0,16968.0,15792.0,18984.0,22176.0,25536.0,33600.0,20832.0,19620.0,24480.0,16740.0,23040.0,25200.0,32940.0,37440.0,24300.0,18180.0,16920.0,20340.0,23760.0,27360.0,36000.0,22320.0,14824.0,10137.0,13952.0,15260.0,19947.0,22672.0,14715.0,11009.0,10246.0,12317.0,14388.0,16568.0,21800.0,13516.0,12648.0,17408.0,19040.0,24888.0,28288.0,18360.0,13736.0,12784.0,15368.0,17952.0,20672.0,27200.0,16864.0,11904.0,13020.0,17019.0,19344.0,12555.0,9393.0,8742.0,10509.0,12276.0,14136.0,18600.0,11532.0,17920.0,23424.0,26624.0,17280.0,12928.0,12032.0,14464.0,16896.0,19456.0,25600.0,15872.0,25620.0,29120.0,18900.0,14140.0,13160.0,15820.0,18480.0,21280.0,28000.0,17360.0,38064.0,24705.0,18483.0,17202.0,20679.0,24156.0,27816.0,36600.0,22692.0,28080.0,21008.0,19552.0,23504.0,27456.0,31616.0,41600.0,25792.0,13635.0,12690.0,15255.0,17820.0,20520.0,27000.0,16740.0,9494.0,11413.0,13332.0,15352.0,20200.0,12524.0,10622.0,12408.0,14288.0,18800.0,11656.0,14916.0,17176.0,22600.0,14012.0,20064.0,26400.0,16368.0,30400.0,18848.0,24800.0,2863.0,136.333333333,1169.33333333,0.381068808942,13,3
7,62.0,65.0,57.0,71.0,69.0,73.0,55.0,81.0,63.0,65.0,49.0,103.0,101.0,66.0,49.0,55.0,73.0,46.0,68.0,89.0,68.0,4030.0,3534.0,4402.0,4278.0,4526.0,3410.0,5022.0,3906.0,4030.0,3038.0,6386.0,6262.0,4092.0,3038.0,3410.0,4526.0,2852.0,4216.0,5518.0,4216.0,3705.0,4615.0,4485.0,4745.0,3575.0,5265.0,4095.0,4225.0,3185.0,6695.0,6565.0,4290.0,3185.0,3575.0,4745.0,2990.0,4420.0,5785.0,4420.0,4047.0,3933.0,4161.0,3135.0,4617.0,3591.0,3705.0,2793.0,5871.0,5757.0,3762.0,2793.0,3135.0,4161.0,2622.0,3876.0,5073.0,3876.0,4899.0,5183.0,3905.0,5751.0,4473.0,4615.0,3479.0,7313.0,7171.0,4686.0,3479.0,3905.0,5183.0,3266.0,4828.0,6319.0,4828.0,5037.0,3795.0,5589.0,4347.0,4485.0,3381.0,7107.0,6969.0,4554.0,3381.0,3795.0,5037.0,3174.0,4692.0,6141.0,4692.0,4015.0,5913.0,4599.0,4745.0,3577.0,7519.0,7373.0,4818.0,3577.0,4015.0,5329.0,3358.0,4964.0,6497.0,4964.0,4455.0,3465.0,3575.0,2695.0,5665.0,5555.0,3630.0,2695.0,3025.0,4015.0,2530.0,3740.0,4895.0,3740.0,5103.0,5265.0,3969.0,8343.0,8181.0,5346.0,3969.0,4455.0,5913.0,3726.0,5508.0,7209.0,5508.0,4095.0,3087.0,6489.0,6363.0,4158.0,3087.0,3465.0,4599.0,2898.0,4284.0,5607.0,4284.0,3185.0,6695.0,6565.0,4290.0,3185.0,3575.0,4745.0,2990.0,4420.0,5785.0,4420.0,5047.0,4949.0,3234.0,2401.0,2695.0,3577.0,2254.0,3332.0,4361.0,3332.0,10403.0,6798.0,5047.0,5665.0,7519.0,4738.0,7004.0,9167.0,7004.0,6666.0,4949.0,5555.0,7373.0,4646.0,6868.0,8989.0,6868.0,3234.0,3630.0,4818.0,3036.0,4488.0,5874.0,4488.0,2695.0,3577.0,2254.0,3332.0,4361.0,3332.0,4015.0,2530.0,3740.0,4895.0,3740.0,3358.0,4964.0,6497.0,4964.0,3128.0,4094.0,3128.0,6052.0,4624.0,6052.0,1428.0,68.0,236.6,0.352240896359,16,5
8,238.0,214.0,229.0,242.0,288.0,324.0,212.0,225.0,202.0,192.0,197.0,251.0,282.0,254.0,180.0,213.0,226.0,208.0,220.0,310.0,246.0,50932.0,54502.0,57596.0,68544.0,77112.0,50456.0,53550.0,48076.0,45696.0,46886.0,59738.0,67116.0,60452.0,42840.0,50694.0,53788.0,49504.0,52360.0,73780.0,58548.0,49006.0,51788.0,61632.0,69336.0,45368.0,48150.0,43228.0,41088.0,42158.0,53714.0,60348.0,54356.0,38520.0,45582.0,48364.0,44512.0,47080.0,66340.0,52644.0,55418.0,65952.0,74196.0,48548.0,51525.0,46258.0,43968.0,45113.0,57479.0,64578.0,58166.0,41220.0,48777.0,51754.0,47632.0,50380.0,70990.0,56334.0,69696.0,78408.0,51304.0,54450.0,48884.0,46464.0,47674.0,60742.0,68244.0,61468.0,43560.0,51546.0,54692.0,50336.0,53240.0,75020.0,59532.0,93312.0,61056.0,64800.0,58176.0,55296.0,56736.0,72288.0,81216.0,73152.0,51840.0,61344.0,65088.0,59904.0,63360.0,89280.0,70848.0,68688.0,72900.0,65448.0,62208.0,63828.0,81324.0,91368.0,82296.0,58320.0,69012.0,73224.0,67392.0,71280.0,100440.0,79704.0,47700.0,42824.0,40704.0,41764.0,53212.0,59784.0,53848.0,38160.0,45156.0,47912.0,44096.0,46640.0,65720.0,52152.0,45450.0,43200.0,44325.0,56475.0,63450.0,57150.0,40500.0,47925.0,50850.0,46800.0,49500.0,69750.0,55350.0,38784.0,39794.0,50702.0,56964.0,51308.0,36360.0,43026.0,45652.0,42016.0,44440.0,62620.0,49692.0,37824.0,48192.0,54144.0,48768.0,34560.0,40896.0,43392.0,39936.0,42240.0,59520.0,47232.0,49447.0,55554.0,50038.0,35460.0,41961.0,44522.0,40976.0,43340.0,61070.0,48462.0,70782.0,63754.0,45180.0,53463.0,56726.0,52208.0,55220.0,77810.0,61746.0,71628.0,50760.0,60066.0,63732.0,58656.0,62040.0,87420.0,69372.0,45720.0,54102.0,57404.0,52832.0,55880.0,78740.0,62484.0,38340.0,40680.0,37440.0,39600.0,55800.0,44280.0,48138.0,44304.0,46860.0,66030.0,52398.0,47008.0,49720.0,70060.0,55596.0,45760.0,64480.0,51168.0,68200.0,54120.0,76260.0,4953.0,235.857142857,1468.82857143,0.338178881486,15,5
9,73.0,104.0,69.0,76.0,73.0,89.0,80.0,108.0,111.0,73.0,89.0,76.0,103.0,96.0,90.0,139.0,93.0,84.0,92.0,115.0,60.0,7592.0,5037.0,5548.0,5329.0,6497.0,5840.0,7884.0,8103.0,5329.0,6497.0,5548.0,7519.0,7008.0,6570.0,10147.0,6789.0,6132.0,6716.0,8395.0,4380.0,7176.0,7904.0,7592.0,9256.0,8320.0,11232.0,11544.0,7592.0,9256.0,7904.0,10712.0,9984.0,9360.0,14456.0,9672.0,8736.0,9568.0,11960.0,6240.0,5244.0,5037.0,6141.0,5520.0,7452.0,7659.0,5037.0,6141.0,5244.0,7107.0,6624.0,6210.0,9591.0,6417.0,5796.0,6348.0,7935.0,4140.0,5548.0,6764.0,6080.0,8208.0,8436.0,5548.0,6764.0,5776.0,7828.0,7296.0,6840.0,10564.0,7068.0,6384.0,6992.0,8740.0,4560.0,6497.0,5840.0,7884.0,8103.0,5329.0,6497.0,5548.0,7519.0,7008.0,6570.0,10147.0,6789.0,6132.0,6716.0,8395.0,4380.0,7120.0,9612.0,9879.0,6497.0,7921.0,6764.0,9167.0,8544.0,8010.0,12371.0,8277.0,7476.0,8188.0,10235.0,5340.0,8640.0,8880.0,5840.0,7120.0,6080.0,8240.0,7680.0,7200.0,11120.0,7440.0,6720.0,7360.0,9200.0,4800.0,11988.0,7884.0,9612.0,8208.0,11124.0,10368.0,9720.0,15012.0,10044.0,9072.0,9936.0,12420.0,6480.0,8103.0,9879.0,8436.0,11433.0,10656.0,9990.0,15429.0,10323.0,9324.0,10212.0,12765.0,6660.0,6497.0,5548.0,7519.0,7008.0,6570.0,10147.0,6789.0,6132.0,6716.0,8395.0,4380.0,6764.0,9167.0,8544.0,8010.0,12371.0,8277.0,7476.0,8188.0,10235.0,5340.0,7828.0,7296.0,6840.0,10564.0,7068.0,6384.0,6992.0,8740.0,4560.0,9888.0,9270.0,14317.0,9579.0,8652.0,9476.0,11845.0,6180.0,8640.0,13344.0,8928.0,8064.0,8832.0,11040.0,5760.0,12510.0,8370.0,7560.0,8280.0,10350.0,5400.0,12927.0,11676.0,12788.0,15985.0,8340.0,7812.0,8556.0,10695.0,5580.0,7728.0,9660.0,5040.0,10580.0,5520.0,6900.0,1893.0,90.1428571429,347.128571429,0.289487585843,10,1
